[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:23:29] [=======             ] 37% -
[2025-12-30 12:23:29] [=======             ] 37% \
[2025-12-30 12:23:30] [=======             ] 37% |
[2025-12-30 12:23:30] [=======             ] 37% /
[2025-12-30 12:23:31] [=======             ] 37% -
[2025-12-30 12:23:31] [=======             ] 37% \
[2025-12-30 12:23:32] [=======             ] 37% |
[2025-12-30 12:23:32] [=======             ] 37% /
[2025-12-30 12:23:33] [=======             ] 37% -
[2025-12-30 12:23:33] [=======             ] 37% \
[2025-12-30 12:23:34] [=======             ] 37% |
[2025-12-30 12:23:34] [=======             ] 37% /
[2025-12-30 12:23:35] [=======             ] 37% -
[2025-12-30 12:23:35] [=======             ] 37% \
[2025-12-30 12:23:36] [=======             ] 37% |
[2025-12-30 12:23:36] [=======             ] 37% /
[2025-12-30 12:23:37] [=======             ] 37% -
[2025-12-30 12:23:37] [=======             ] 37% \
[2025-12-30 12:23:38] [=======             ] 37% |
[2025-12-30 12:23:38] [=======             ] 37% /
[2025-12-30 12:23:39] [=======             ] 37% -
[2025-12-30 12:23:39] [=======             ] 37% \
[2025-12-30 12:23:40] [=======             ] 37% |
[2025-12-30 12:23:40] [=======             ] 37% /
[2025-12-30 12:23:41] [=======             ] 37% -
[2025-12-30 12:23:41] [=======             ] 37% \
[2025-12-30 12:23:42] [=======             ] 37% |
[2025-12-30 12:23:42] [=======             ] 37% /
[2025-12-30 12:23:43] [=======             ] 37% -
[2025-12-30 12:23:43] [=======             ] 37% \
[2025-12-30 12:23:44] [=======             ] 37% |
[2025-12-30 12:23:44] [=======             ] 37% /
[2025-12-30 12:23:45] [=======             ] 37% -
[2025-12-30 12:23:46] [=======             ] 37% \
[2025-12-30 12:23:46] [=======             ] 37% |
[2025-12-30 12:23:47] [=======             ] 37% /
[2025-12-30 12:23:47] [=======             ] 37% -
[2025-12-30 12:23:48] [=======             ] 37% \
[2025-12-30 12:23:48] [=======             ] 37% |
[2025-12-30 12:23:49] [=======             ] 39% /
[2025-12-30 12:23:49] [=======             ] 39% -
[2025-12-30 12:23:50] [========            ] 40% \
[2025-12-30 12:23:50] [========            ] 40% |
[2025-12-30 12:23:51] [========            ] 40% /
[2025-12-30 12:23:51] [========            ] 40% -
[2025-12-30 12:23:52] [========            ] 40% \
[2025-12-30 12:23:52] [========            ] 40% |
[2025-12-30 12:23:53] [========            ] 41% /
[2025-12-30 12:23:53] [========            ] 41% -
[2025-12-30 12:23:54] [========            ] 41% \
[2025-12-30 12:23:54] [========            ] 41% |
[2025-12-30 12:23:55] [========            ] 41% /
[2025-12-30 12:23:55] [========            ] 41% -
[2025-12-30 12:23:56] [========            ] 41% \
[2025-12-30 12:23:56] [========            ] 41% |
[2025-12-30 12:23:57] [========            ] 41% /
[2025-12-30 12:23:57] [========            ] 41% -
[2025-12-30 12:23:58] [========            ] 41% \
[2025-12-30 12:23:58] [========            ] 41% |
[2025-12-30 12:23:59] [========            ] 41% /
[2025-12-30 12:23:59] [========            ] 41% -
[2025-12-30 12:24:00] [========            ] 41% \
[2025-12-30 12:24:00] [========            ] 41% |
[2025-12-30 12:24:01] [========            ] 41% /
[2025-12-30 12:24:01] [========            ] 41% -
[2025-12-30 12:24:02] [========            ] 41% \
[2025-12-30 12:24:02] [========            ] 41% |
[2025-12-30 12:24:03] [========            ] 41% /
[2025-12-30 12:24:03] [========            ] 41% -
[2025-12-30 12:24:04] [========            ] 41% \
[2025-12-30 12:24:04] [========            ] 41% |
[2025-12-30 12:24:05] [========            ] 41% /
[2025-12-30 12:24:05] [========            ] 41% -
[2025-12-30 12:24:06] [========            ] 41% \
[2025-12-30 12:24:06] [========            ] 41% |
[2025-12-30 12:24:07] [========            ] 41% /
[2025-12-30 12:24:07] [========            ] 41% -
[2025-12-30 12:24:08] [========            ] 41% \
[2025-12-30 12:24:08] [========            ] 41% |
[2025-12-30 12:24:09] [========            ] 41% /
[2025-12-30 12:24:09] [========            ] 41% -
[2025-12-30 12:24:10] [========            ] 41% \
[2025-12-30 12:24:10] [========            ] 41% |
[2025-12-30 12:24:11] [========            ] 41% /
[2025-12-30 12:24:11] [========            ] 41% -
[2025-12-30 12:24:12] [========            ] 41% \
[2025-12-30 12:24:12] [========            ] 41% |
[2025-12-30 12:24:13] [========            ] 41% /
[2025-12-30 12:24:13] [========            ] 41% -
[2025-12-30 12:24:14] [========            ] 41% \
[2025-12-30 12:24:14] [========            ] 41% |
[2025-12-30 12:24:15] [========            ] 41% /
[2025-12-30 12:24:15] [========            ] 41% -
[2025-12-30 12:24:16] [========            ] 41% \
[2025-12-30 12:24:16] [========            ] 41% |
[2025-12-30 12:24:17] [========            ] 41% /
[2025-12-30 12:24:17] [========            ] 41% -
[2025-12-30 12:24:18] [========            ] 41% \
[2025-12-30 12:24:18] [========            ] 41% |
[2025-12-30 12:24:19] [========            ] 41% /
[2025-12-30 12:24:19] [========            ] 41% -
[2025-12-30 12:24:20] [========            ] 41% \
[2025-12-30 12:24:20] [========            ] 41% |
[2025-12-30 12:24:21] [========            ] 41% /
[2025-12-30 12:24:21] [========            ] 41% -
[2025-12-30 12:24:22] [========            ] 41% \
[2025-12-30 12:24:22] [========            ] 41% |
[2025-12-30 12:24:23] [========            ] 41% /
[2025-12-30 12:24:23] [========            ] 41% -
[2025-12-30 12:24:24] [========            ] 41% \
[2025-12-30 12:24:25] [========            ] 41% |
[2025-12-30 12:24:25] [========            ] 41% /
[2025-12-30 12:24:26] [========            ] 41% -
[2025-12-30 12:24:26] [========            ] 41% \
[2025-12-30 12:24:27] [========            ] 41% |
[2025-12-30 12:24:27] [========            ] 41% /
[2025-12-30 12:24:28] [========            ] 41% -
[2025-12-30 12:24:28] [========            ] 41% \
[2025-12-30 12:24:29] [========            ] 41% |
[2025-12-30 12:24:29] [========            ] 41% /
[2025-12-30 12:24:30] [========            ] 41% -
[2025-12-30 12:24:30] [========            ] 41% \
[2025-12-30 12:24:31] [========            ] 41% |
[2025-12-30 12:24:31] [========            ] 41% /
[2025-12-30 12:24:32] [========            ] 41% -
[2025-12-30 12:24:32] [========            ] 41% \
[2025-12-30 12:24:33] [========            ] 41% |
[2025-12-30 12:24:33] [========            ] 41% /
[2025-12-30 12:24:34] [========            ] 41% -
[2025-12-30 12:24:34] [========            ] 41% \
[2025-12-30 12:24:35] [========            ] 41% |
[2025-12-30 12:24:35] [========            ] 41% /
[2025-12-30 12:24:36] [========            ] 41% -
[2025-12-30 12:24:36] [========            ] 43% \
[2025-12-30 12:24:37] [========            ] 44% |
[2025-12-30 12:24:37] [========            ] 44% /
[2025-12-30 12:24:38] [========            ] 44% -
[2025-12-30 12:24:38] [========            ] 44% \
[2025-12-30 12:24:39] [========            ] 44% |
[2025-12-30 12:24:39] [========            ] 44% /
[2025-12-30 12:24:40] [========            ] 44% -
[2025-12-30 12:24:40] [========            ] 44% \
[2025-12-30 12:24:41] [=========           ] 45% |
[2025-12-30 12:24:41] [=========           ] 45% /
[2025-12-30 12:24:42] [=========           ] 45% -
[2025-12-30 12:24:42] [=========           ] 45% \
[2025-12-30 12:24:43] [=========           ] 45% |
[2025-12-30 12:24:43] [=========           ] 45% /
[2025-12-30 12:24:44] [=========           ] 45% -
[2025-12-30 12:24:44] [=========           ] 45% \
[2025-12-30 12:24:45] [=========           ] 46% |
[2025-12-30 12:24:45] [=========           ] 46% /
[2025-12-30 12:24:46] [=========           ] 46% -
[2025-12-30 12:24:46] [=========           ] 46% \
[2025-12-30 12:24:47] [=========           ] 46% |
[2025-12-30 12:24:47] [=========           ] 46% /
[2025-12-30 12:24:48] [=========           ] 46% -
[2025-12-30 12:24:48] [=========           ] 47% \
[2025-12-30 12:24:49] [=========           ] 47% |
[2025-12-30 12:24:49] [=========           ] 47% /
[2025-12-30 12:24:50] [=========           ] 47% -
[2025-12-30 12:24:50] [=========           ] 47% \
[2025-12-30 12:24:51] [=========           ] 47% |
[2025-12-30 12:24:51] [=========           ] 47% /
[2025-12-30 12:24:52] [=========           ] 47% -
[2025-12-30 12:24:52] [=========           ] 47% \
[2025-12-30 12:24:53] [=========           ] 47% |
[2025-12-30 12:24:53] [=========           ] 47% /
[2025-12-30 12:24:54] [=========           ] 47% -
[2025-12-30 12:24:54] [=========           ] 47% \
[2025-12-30 12:24:55] [=========           ] 47% |
[2025-12-30 12:24:55] [=========           ] 47% /
[2025-12-30 12:24:56] [=========           ] 47% -
[2025-12-30 12:24:56] [=========           ] 47% \
[2025-12-30 12:24:57] [=========           ] 47% |
[2025-12-30 12:24:57] [=========           ] 47% /
[2025-12-30 12:24:58] [=========           ] 47% -
[2025-12-30 12:24:58] [=========           ] 47% \
[2025-12-30 12:24:59] [=========           ] 47% |
[2025-12-30 12:24:59] [=========           ] 47% /
[2025-12-30 12:25:00] [=========           ] 47% -
[2025-12-30 12:25:00] [=========           ] 47% \
[2025-12-30 12:25:01] [=========           ] 47% |
[2025-12-30 12:25:01] [=========           ] 47% /
[2025-12-30 12:25:02] [=========           ] 47% -
[2025-12-30 12:25:02] [=========           ] 47% \
[2025-12-30 12:25:03] [=========           ] 47% |
[2025-12-30 12:25:03] [=========           ] 47% /
[2025-12-30 12:25:04] [=========           ] 47% -
[2025-12-30 12:25:04] [=========           ] 47% \
[2025-12-30 12:25:05] [=========           ] 47% |
[2025-12-30 12:25:05] [=========           ] 47% /
[2025-12-30 12:25:06] [=========           ] 47% -
[2025-12-30 12:25:06] [=========           ] 47% \
[2025-12-30 12:25:07] [=========           ] 47% |
[2025-12-30 12:25:08] [=========           ] 47% /
[2025-12-30 12:25:08] [=========           ] 47% -
[2025-12-30 12:25:09] [=========           ] 47% \
[2025-12-30 12:25:09] [=========           ] 47% |
[2025-12-30 12:25:10] [=========           ] 47% /
[2025-12-30 12:25:10] [=========           ] 47% -
[2025-12-30 12:25:11] [=========           ] 47% \
[2025-12-30 12:25:11] [=========           ] 47% |
[2025-12-30 12:25:12] [=========           ] 47% /
[2025-12-30 12:25:12] [=========           ] 47% -
[2025-12-30 12:25:13] [=========           ] 47% \
[2025-12-30 12:25:13] [=========           ] 47% |
[2025-12-30 12:25:14] [=========           ] 47% /
[2025-12-30 12:25:14] [=========           ] 47% -
[2025-12-30 12:25:15] [=========           ] 47% \
[2025-12-30 12:25:15] [=========           ] 47% |
[2025-12-30 12:25:16] [=========           ] 47% /
[2025-12-30 12:25:16] [=========           ] 47% -
[2025-12-30 12:25:17] [=========           ] 47% \
[2025-12-30 12:25:17] [=========           ] 47% |
[2025-12-30 12:25:18] [=========           ] 47% /
[2025-12-30 12:25:18] [=========           ] 47% -
[2025-12-30 12:25:19] [=========           ] 47% \
[2025-12-30 12:25:19] [=========           ] 47% |
[2025-12-30 12:25:20] [=========           ] 47% /
[2025-12-30 12:25:20] [=========           ] 47% -
[2025-12-30 12:25:21] [=========           ] 47% \
[2025-12-30 12:25:21] [=========           ] 47% |
[2025-12-30 12:25:22] [=========           ] 48% /
[2025-12-30 12:25:22] [=========           ] 48% -
[2025-12-30 12:25:23] [=========           ] 48% \
[2025-12-30 12:25:23] [=========           ] 48% |
[2025-12-30 12:25:24] [=========           ] 48% /
[2025-12-30 12:25:24] [=========           ] 48% -
[2025-12-30 12:25:25] [=========           ] 48% \
[2025-12-30 12:25:25] [=========           ] 48% |
[2025-12-30 12:25:26] [=========           ] 49% /
[2025-12-30 12:25:26] [=========           ] 49% -
[2025-12-30 12:25:27] [=========           ] 49% \
[2025-12-30 12:25:27] [=========           ] 49% |
[2025-12-30 12:25:28] [=========           ] 49% /
[2025-12-30 12:25:28] [=========           ] 49% -
[2025-12-30 12:25:29] [=========           ] 49% \
[2025-12-30 12:25:29] [=========           ] 49% |
[2025-12-30 12:25:30] [=========           ] 49% /
[2025-12-30 12:25:30] [=========           ] 49% -
[2025-12-30 12:25:31] [=========           ] 49% \
[2025-12-30 12:25:31] [=========           ] 49% |
[2025-12-30 12:25:32] [=========           ] 49% /
[2025-12-30 12:25:32] [=========           ] 49% -
[2025-12-30 12:25:33] [=========           ] 49% \
[2025-12-30 12:25:33] [=========           ] 49% |
[2025-12-30 12:25:34] [=========           ] 49% /
[2025-12-30 12:25:34] [=========           ] 49% -
[2025-12-30 12:25:35] [=========           ] 49% \
[2025-12-30 12:25:35] [=========           ] 49% |
[2025-12-30 12:25:36] [=========           ] 49% /
[2025-12-30 12:25:36] [=========           ] 49% -
[2025-12-30 12:25:37] [=========           ] 49% \
[2025-12-30 12:25:37] [=========           ] 49% |
[2025-12-30 12:25:38] [=========           ] 49% /
[2025-12-30 12:25:38] [=========           ] 49% -
[2025-12-30 12:25:39] [=========           ] 49% \
[2025-12-30 12:25:39] [=========           ] 49% |
[2025-12-30 12:25:40] [=========           ] 49% /
[2025-12-30 12:25:40] [=========           ] 49% -
[2025-12-30 12:25:41] [=========           ] 49% \
[2025-12-30 12:25:41] [=========           ] 49% |
[2025-12-30 12:25:42] [=========           ] 49% /
[2025-12-30 12:25:42] [=========           ] 49% -
[2025-12-30 12:25:43] [=========           ] 49% \
[2025-12-30 12:25:43] [=========           ] 49% |
[2025-12-30 12:25:44] [=========           ] 49% /
[2025-12-30 12:25:44] [=========           ] 49% -
[2025-12-30 12:25:45] [=========           ] 49% \
[2025-12-30 12:25:45] [=========           ] 49% |
[2025-12-30 12:25:46] [=========           ] 49% /
[2025-12-30 12:25:46] [=========           ] 49% -
[2025-12-30 12:25:47] [=========           ] 49% \
[2025-12-30 12:25:47] [=========           ] 49% |
[2025-12-30 12:25:48] [=========           ] 49% /
[2025-12-30 12:25:49] [=========           ] 49% -
[2025-12-30 12:25:49] [=========           ] 49% \
[2025-12-30 12:25:50] [=========           ] 49% |
[2025-12-30 12:25:50] [=========           ] 49% /
[2025-12-30 12:25:51] [=========           ] 49% -
[2025-12-30 12:25:51] [=========           ] 49% \
[2025-12-30 12:25:52] [=========           ] 49% |
[2025-12-30 12:25:52] [=========           ] 49% /
[2025-12-30 12:25:53] [=========           ] 49% -
[2025-12-30 12:25:53] [=========           ] 49% \
[2025-12-30 12:25:54] [=========           ] 49% |
[2025-12-30 12:25:54] [=========           ] 49% /
[2025-12-30 12:25:55] [=========           ] 49% -
[2025-12-30 12:25:55] [=========           ] 49% \
[2025-12-30 12:25:56] [=========           ] 49% |
[2025-12-30 12:25:56] [=========           ] 49% /
[2025-12-30 12:25:57] [=========           ] 49% -
[2025-12-30 12:25:57] [=========           ] 49% \
[2025-12-30 12:25:58] [=========           ] 49% |
[2025-12-30 12:25:58] [=========           ] 49% /
[2025-12-30 12:25:59] [=========           ] 49% -
[2025-12-30 12:25:59] [=========           ] 49% \
[2025-12-30 12:26:00] [=========           ] 49% |
[2025-12-30 12:26:00] [=========           ] 49% /
[2025-12-30 12:26:01] [=========           ] 49% -
[2025-12-30 12:26:01] [=========           ] 49% \
[2025-12-30 12:26:02] [=========           ] 49% |
[2025-12-30 12:26:02] [=========           ] 49% /
[2025-12-30 12:26:03] [=========           ] 49% -
[2025-12-30 12:26:03] [=========           ] 49% \
[2025-12-30 12:26:04] [=========           ] 49% |
[2025-12-30 12:26:04] [=========           ] 49% /
[2025-12-30 12:26:05] [=========           ] 49% -
[2025-12-30 12:26:05] [=========           ] 49% \
[2025-12-30 12:26:06] [=========           ] 49% |
[2025-12-30 12:26:06] [=========           ] 49% /
[2025-12-30 12:26:07] [=========           ] 49% -
[2025-12-30 12:26:07] [=========           ] 49% \
[2025-12-30 12:26:08] [=========           ] 49% |
[2025-12-30 12:26:08] [=========           ] 49% /
[2025-12-30 12:26:09] [=========           ] 49% -
[2025-12-30 12:26:09] [=========           ] 49% \
[2025-12-30 12:26:10] [=========           ] 49% |
[2025-12-30 12:26:10] [=========           ] 49% /
[2025-12-30 12:26:11] [=========           ] 49% -
[2025-12-30 12:26:11] [=========           ] 49% \
[2025-12-30 12:26:12] [=========           ] 49% |
[2025-12-30 12:26:12] [=========           ] 49% /
[2025-12-30 12:26:13] [=========           ] 49% -
[2025-12-30 12:26:13] [=========           ] 49% \
[2025-12-30 12:26:14] [=========           ] 49% |
[2025-12-30 12:26:14] [=========           ] 49% /
[2025-12-30 12:26:15] [=========           ] 49% -
[2025-12-30 12:26:15] [=========           ] 49% \
[2025-12-30 12:26:16] [=========           ] 49% |
[2025-12-30 12:26:16] [=========           ] 49% /
[2025-12-30 12:26:17] [=========           ] 49% -
[2025-12-30 12:26:17] [=========           ] 49% \
[2025-12-30 12:26:18] [=========           ] 49% |
[2025-12-30 12:26:18] [=========           ] 49% /
[2025-12-30 12:26:19] [=========           ] 49% -
[2025-12-30 12:26:19] [=========           ] 49% \
[2025-12-30 12:26:20] [=========           ] 49% |
[2025-12-30 12:26:20] [=========           ] 49% /
[2025-12-30 12:26:21] [=========           ] 49% -
[2025-12-30 12:26:21] [=========           ] 49% \
[2025-12-30 12:26:22] [=========           ] 49% |
[2025-12-30 12:26:22] [=========           ] 49% /
[2025-12-30 12:26:23] [=========           ] 49% -
[2025-12-30 12:26:23] [=========           ] 49% \
[2025-12-30 12:26:24] [=========           ] 49% |
[2025-12-30 12:26:24] [=========           ] 49% /
[2025-12-30 12:26:25] [=========           ] 49% -
[2025-12-30 12:26:25] [=========           ] 49% \
[2025-12-30 12:26:26] [=========           ] 49% |
[2025-12-30 12:26:26] [=========           ] 49% /
[2025-12-30 12:26:27] [=========           ] 49% -
[2025-12-30 12:26:27] [=========           ] 49% \
[2025-12-30 12:26:28] [=========           ] 49% |
[2025-12-30 12:26:28] [=========           ] 49% /
[2025-12-30 12:26:29] [=========           ] 49% -
[2025-12-30 12:26:29] [=========           ] 49% \
[2025-12-30 12:26:30] [=========           ] 49% |
[2025-12-30 12:26:31] [=========           ] 49% /
[2025-12-30 12:26:31] [=========           ] 49% -
[2025-12-30 12:26:32] [=========           ] 49% \
[2025-12-30 12:26:32] [=========           ] 49% |
[2025-12-30 12:26:33] [=========           ] 49% /
[2025-12-30 12:26:33] [=========           ] 49% -
[2025-12-30 12:26:34] [=========           ] 49% \
[2025-12-30 12:26:34] [=========           ] 49% |
[2025-12-30 12:26:35] [=========           ] 49% /
[2025-12-30 12:26:35] [=========           ] 49% -
[2025-12-30 12:26:36] [=========           ] 49% \
[2025-12-30 12:26:36] [=========           ] 49% |
[2025-12-30 12:26:37] [=========           ] 49% /
[2025-12-30 12:26:37] [=========           ] 49% -
[2025-12-30 12:26:38] [=========           ] 49% \
[2025-12-30 12:26:38] [=========           ] 49% |
[2025-12-30 12:26:39] [=========           ] 49% /
[2025-12-30 12:26:39] [=========           ] 49% -
[2025-12-30 12:26:40] [=========           ] 49% \
[2025-12-30 12:26:40] [=========           ] 49% |
[2025-12-30 12:26:41] [=========           ] 49% /
[2025-12-30 12:26:41] [=========           ] 49% -
[2025-12-30 12:26:42] [=========           ] 49% \
[2025-12-30 12:26:42] [=========           ] 49% |
[2025-12-30 12:26:43] [=========           ] 49% /
[2025-12-30 12:26:43] [=========           ] 49% -
[2025-12-30 12:26:44] [=========           ] 49% \
[2025-12-30 12:26:44] [=========           ] 49% |
[2025-12-30 12:26:45] [=========           ] 49% /
[2025-12-30 12:26:45] [=========           ] 49% -
[2025-12-30 12:26:46] [=========           ] 49% \
[2025-12-30 12:26:46] [=========           ] 49% |
[2025-12-30 12:26:47] [=========           ] 49% /
[2025-12-30 12:26:47] [=========           ] 49% -
[2025-12-30 12:26:48] [=========           ] 49% \
[2025-12-30 12:26:48] [=========           ] 49% |
[2025-12-30 12:26:49] [=========           ] 49% /
[2025-12-30 12:26:49] [=========           ] 49% -
[2025-12-30 12:26:50] [=========           ] 49% \
[2025-12-30 12:26:50] [=========           ] 49% |
[2025-12-30 12:26:51] [=========           ] 49% /
[2025-12-30 12:26:51] [=========           ] 49% -
[2025-12-30 12:26:52] [=========           ] 49% \
[2025-12-30 12:26:52] [==========          ] 50% |
[2025-12-30 12:26:53] [==========          ] 50% /
[2025-12-30 12:26:53] [==========          ] 50% -
[2025-12-30 12:26:54] [==========          ] 50% \
[2025-12-30 12:26:54] [==========          ] 50% |
[2025-12-30 12:26:55] [==========          ] 50% /
[2025-12-30 12:26:55] [==========          ] 50% -
[2025-12-30 12:26:56] [==========          ] 51% \
[2025-12-30 12:26:56] [==========          ] 51% |
[2025-12-30 12:26:57] [==========          ] 51% /
[2025-12-30 12:26:57] [==========          ] 52% -
[2025-12-30 12:26:58] [==========          ] 52% \
[2025-12-30 12:26:58] [==========          ] 52% |
[2025-12-30 12:26:59] [==========          ] 52% /
[2025-12-30 12:26:59] [==========          ] 52% -
[2025-12-30 12:27:00] [==========          ] 52% \
[2025-12-30 12:27:00] [==========          ] 52% |
[2025-12-30 12:27:01] [==========          ] 52% /
[2025-12-30 12:27:01] [==========          ] 52% -
[2025-12-30 12:27:02] [==========          ] 52% \
[2025-12-30 12:27:02] [==========          ] 52% |
[2025-12-30 12:27:03] [==========          ] 52% /
[2025-12-30 12:27:03] [==========          ] 52% -
[2025-12-30 12:27:04] [==========          ] 52% \
[2025-12-30 12:27:04] [==========          ] 52% |
[2025-12-30 12:27:05] [==========          ] 52% /
[2025-12-30 12:27:05] [==========          ] 52% -
[2025-12-30 12:27:06] [==========          ] 52% \
[2025-12-30 12:27:06] [==========          ] 52% |
[2025-12-30 12:27:07] [==========          ] 52% /
[2025-12-30 12:27:07] [==========          ] 52% -
[2025-12-30 12:27:08] [==========          ] 52% \
[2025-12-30 12:27:08] [==========          ] 52% |
[2025-12-30 12:27:09] [==========          ] 52% /
[2025-12-30 12:27:09] [==========          ] 52% -
[2025-12-30 12:27:10] [==========          ] 53% \
[2025-12-30 12:27:10] [==========          ] 53% |
[2025-12-30 12:27:11] [==========          ] 54% /
[2025-12-30 12:27:11] [==========          ] 54% -
[2025-12-30 12:27:12] [==========          ] 54% \
[2025-12-30 12:27:12] [==========          ] 54% |
[2025-12-30 12:27:13] [==========          ] 54% /
[2025-12-30 12:27:13] [==========          ] 54% -
[2025-12-30 12:27:14] [===========         ] 55% \
[2025-12-30 12:27:14] [===========         ] 55% |
[2025-12-30 12:27:15] [===========         ] 55% /
[2025-12-30 12:27:16] [===========         ] 56% -
[2025-12-30 12:27:16] [===========         ] 56% \
[2025-12-30 12:27:17] [===========         ] 56% |
[2025-12-30 12:27:17] [===========         ] 56% /
[2025-12-30 12:27:18] [===========         ] 56% -
[2025-12-30 12:27:18] [===========         ] 56% \
[2025-12-30 12:27:19] [===========         ] 56% |
[2025-12-30 12:27:19] [===========         ] 56% /
[2025-12-30 12:27:20] [===========         ] 56% -
[2025-12-30 12:27:20] [===========         ] 56% \
[2025-12-30 12:27:21] [===========         ] 57% |
[2025-12-30 12:27:21] [===========         ] 57% /
[2025-12-30 12:27:22] [===========         ] 57% -
[2025-12-30 12:27:22] [===========         ] 57% \
[2025-12-30 12:27:23] [===========         ] 57% |
[2025-12-30 12:27:23] [===========         ] 57% /
[2025-12-30 12:27:24] [===========         ] 57% -
[2025-12-30 12:27:24] [===========         ] 57% \
[2025-12-30 12:27:25] [===========         ] 57% |
[2025-12-30 12:27:25] [===========         ] 57% /
[2025-12-30 12:27:26] [===========         ] 57% -
[2025-12-30 12:27:26] [===========         ] 57% \
[2025-12-30 12:27:27] [===========         ] 57% |
[2025-12-30 12:27:27] [===========         ] 57% /
[2025-12-30 12:27:28] [===========         ] 57% -
[2025-12-30 12:27:28] [===========         ] 57% \
[2025-12-30 12:27:29] [===========         ] 57% |
[2025-12-30 12:27:29] [===========         ] 57% /
[2025-12-30 12:27:30] [===========         ] 57% -
[2025-12-30 12:27:30] [===========         ] 57% \
[2025-12-30 12:27:31] [===========         ] 57% |
[2025-12-30 12:27:31] [===========         ] 57% /
[2025-12-30 12:27:32] [===========         ] 57% -
[2025-12-30 12:27:32] [===========         ] 57% \
[2025-12-30 12:27:33] [===========         ] 57% |
[2025-12-30 12:27:33] [===========         ] 57% /
[2025-12-30 12:27:34] [===========         ] 57% -
[2025-12-30 12:27:34] [============        ] 60% \
[2025-12-30 12:27:35] [============        ] 60% |
[2025-12-30 12:27:35] [============        ] 60% /
[2025-12-30 12:27:36] [============        ] 60% -
[2025-12-30 12:27:36] [============        ] 60% \
[2025-12-30 12:27:37] [============        ] 60% |
[2025-12-30 12:27:37] [============        ] 60% /
[2025-12-30 12:27:38] [============        ] 60% -
[2025-12-30 12:27:38] [============        ] 60% \
[2025-12-30 12:27:39] [============        ] 60% |
[2025-12-30 12:27:39] [============        ] 60% /
[2025-12-30 12:27:40] [============        ] 60% -
[2025-12-30 12:27:40] [============        ] 60% \
[2025-12-30 12:27:41] [============        ] 60% |
[2025-12-30 12:27:41] [============        ] 60% /
[2025-12-30 12:27:42] [============        ] 60% -
[2025-12-30 12:27:42] [============        ] 60% \
[2025-12-30 12:27:43] [============        ] 60% |
[2025-12-30 12:27:43] [============        ] 60% /
[2025-12-30 12:27:44] [============        ] 60% -
[2025-12-30 12:27:44] [============        ] 60% \
[2025-12-30 12:27:45] [============        ] 60% |
[2025-12-30 12:27:45] [============        ] 60% /
[2025-12-30 12:27:46] [============        ] 60% -
[2025-12-30 12:27:46] [============        ] 60% \
[2025-12-30 12:27:47] [============        ] 60% |
[2025-12-30 12:27:47] [============        ] 60% /
[2025-12-30 12:27:48] [============        ] 60% -
[2025-12-30 12:27:48] [============        ] 60% \
[2025-12-30 12:27:49] [============        ] 60% |
[2025-12-30 12:27:49] [============        ] 60% /
[2025-12-30 12:27:50] [============        ] 60% -
[2025-12-30 12:27:50] [============        ] 60% \
[2025-12-30 12:27:51] [============        ] 60% |
[2025-12-30 12:27:51] [============        ] 60% /
[2025-12-30 12:27:52] [============        ] 60% -
[2025-12-30 12:27:52] [============        ] 60% \
[2025-12-30 12:27:53] [============        ] 60% |
[2025-12-30 12:27:53] [============        ] 60% /
[2025-12-30 12:27:54] [============        ] 60% -
[2025-12-30 12:27:54] [============        ] 60% \
[2025-12-30 12:27:55] [============        ] 60% |
[2025-12-30 12:27:56] [============        ] 60% /
[2025-12-30 12:27:56] [============        ] 60% -
[2025-12-30 12:27:57] [============        ] 60% \
[2025-12-30 12:27:57] [============        ] 60% |
[2025-12-30 12:27:58] [============        ] 60% /
[2025-12-30 12:27:58] [============        ] 60% -
[2025-12-30 12:27:59] [============        ] 60% \
[2025-12-30 12:27:59] [============        ] 60% |
[2025-12-30 12:28:00] [============        ] 60% /
[2025-12-30 12:28:00] [============        ] 60% -
[2025-12-30 12:28:01] [============        ] 60% \
[2025-12-30 12:28:01] [============        ] 60% |
[2025-12-30 12:28:02] [============        ] 60% /
[2025-12-30 12:28:02] [============        ] 60% -
[2025-12-30 12:28:03] [============        ] 60% \
[2025-12-30 12:28:03] [============        ] 60% |
[2025-12-30 12:28:04] [============        ] 60% /
[2025-12-30 12:28:04] [============        ] 60% -
